날짜,count
2014-05-02,1
2014-12-15,1
2015-02-06,1
2015-07-29,1
2015-09-25,1
2015-10-08,1
2015-10-14,1
2015-11-20,2
2015-11-23,4
2015-11-27,1
2015-12-03,1
2015-12-21,2
2016-01-20,2
2016-01-31,1
2016-02-25,1
2016-03-11,2
2016-03-22,3
2016-06-01,1
2017-01-29,2
2017-03-01,1
2017-05-02,1
2017-08-18,1
2017-11-05,1
2017-12-01,1
2018-01-06,1
2018-02-18,1
2018-08-21,1
2018-08-23,1
2018-10-14,1
2018-10-16,1
2018-10-30,1
2018-11-20,1
2018-12-11,1
2018-12-31,1
2019-04-10,1
2019-10-17,1
2019-12-02,1
2019-12-21,1
2020-02-14,2
2020-02-19,1
2020-02-20,2
2020-02-21,2
2020-02-24,2
2020-02-25,2
2020-02-26,2
2020-02-27,3
2020-03-02,1
2020-03-03,2
2020-03-06,1
2020-03-07,1
2020-03-09,1
2020-03-10,1
2020-03-11,1
2020-03-17,1
2020-03-18,2
2020-03-19,5
2020-03-31,2
2020-04-02,3
2020-04-03,1
2020-04-10,2
2020-04-16,1
2020-04-19,1
2020-04-23,1
2020-04-28,2
2020-04-29,1
2020-05-04,1
2020-05-06,1
2020-05-07,1
2020-05-08,1
2020-05-10,2
2020-05-15,1
2020-05-20,4
2020-05-23,2
2020-05-24,1
2020-05-25,1
2020-05-27,2
2020-05-28,1
2020-05-30,2
2020-05-31,1
2020-06-01,5
2020-06-02,7
2020-06-03,1
2020-06-05,2
2020-06-09,1
2020-06-12,1
2020-06-15,3
2020-06-16,1
2020-06-17,1
2020-06-18,3
2020-06-20,1
2020-06-21,1
2020-06-22,1
2020-06-24,2
2020-06-27,1
2020-06-30,1
2020-07-01,2
2020-07-04,1
2020-07-08,2
2020-07-13,2
2020-07-28,1
2020-08-03,1
2020-08-04,1
2020-08-06,2
2020-08-09,1
2020-08-12,1
2020-08-20,1
2020-08-22,2
2020-08-28,1
2020-09-02,2
2020-09-06,1
2020-09-14,1
2020-09-15,1
2020-09-17,3
2020-09-19,1
2020-09-21,4
2020-09-27,1
2020-10-02,1
2020-10-05,2
2020-10-06,2
2020-10-07,1
2020-10-08,1
2020-10-12,5
2020-10-13,2
2020-10-14,3
2020-10-15,1
2020-10-17,1
2020-10-18,1
2020-10-19,2
2020-10-20,2
2020-10-21,2
2020-10-25,1
2020-10-26,3
2020-10-27,2
2020-10-28,1
2020-10-29,1
2020-11-03,1
2020-11-05,1
2020-11-06,2
2020-11-09,1
2020-11-11,1
2020-11-12,1
2020-11-16,2
2020-11-22,1
2020-11-23,2
2020-11-25,2
2020-11-26,1
2020-11-27,2
2020-11-28,1
2020-11-29,1
2020-11-30,1
2020-12-01,1
2020-12-02,3
2020-12-03,2
2020-12-04,2
2020-12-06,2
2020-12-07,2
2020-12-09,1
2020-12-11,1
2020-12-18,1
2020-12-23,1
2020-12-25,1
2020-12-26,1
2020-12-27,2
2020-12-28,1
2021-01-04,1
2021-01-05,1
2021-01-11,1
2021-01-15,1
2021-01-16,1
2021-01-17,1
2021-01-19,2
2021-01-25,1
2021-02-05,1
2021-02-07,1
2021-02-13,1
2021-02-16,2
2021-02-18,1
2021-02-19,1
2021-02-20,1
2021-02-24,1
2021-02-26,3
